Time,Live threads
41772.097639,292
41772.097686,291
41772.097732,290
41772.097778,289
41772.097825,289
41772.097871,289
41772.097917,289
41772.097963,289
41772.098010,289
41772.098056,289
41772.098102,289
41772.098149,288
41772.098195,151
41772.098241,151
41772.098288,153
41772.098334,153
41772.098380,153
41772.098426,152
41772.098473,152
41772.098519,152
41772.098565,152
41772.098612,162
41772.098658,161
41772.098704,161
41772.098751,162
41772.098797,162
41772.098843,162
41772.098889,161
41772.098936,165
41772.098982,164
41772.099028,164
41772.099074,164
41772.099121,164
41772.099167,164
41772.099213,164
41772.099260,163
41772.099307,174
41772.099352,174
41772.099399,174
41772.099445,174
41772.099491,174
41772.099539,173
41772.099584,175
41772.099630,172
41772.099676,172
41772.099723,172
41772.099769,172
41772.099815,172
41772.099862,172
41772.099908,172
41772.099954,172
41772.100001,173
41772.100047,173
41772.100093,173
41772.100139,173
41772.100186,173
41772.100232,174
41772.100279,165
41772.100325,165
41772.100371,165
41772.100417,165
41772.100463,165
41772.100510,165
41772.100556,165
41772.100603,166
41772.100649,166
41772.100695,157
41772.100742,164
41772.100787,163
41772.100834,163
41772.100880,162
41772.100926,163
41772.100973,162
41772.101025,277
41772.101065,277
41772.101112,276
41772.101158,275
41772.101204,274
41772.101250,273
41772.101297,273
41772.101343,273
41772.101389,273
41772.101436,273
41772.101482,273
41772.101528,273
41772.101574,273
41772.101621,273
41772.101667,273
41772.101714,173
41772.101760,169
41772.101806,169
41772.101852,169
41772.101899,169
41772.101945,169
41772.101991,169
41772.102037,169
41772.102084,168
41772.102130,168
41772.102176,168
41772.102223,168
41772.102269,168
41772.102315,169
41772.102362,157
41772.102408,156
41772.102454,156
41772.102501,157
41772.102547,157
41772.102593,157
41772.102639,157
41772.102686,157
41772.102732,156
41772.102778,156
41772.102824,156
41772.102871,157
41772.102917,157
41772.102965,174
41772.103010,168
41772.103056,168
41772.103102,168
41772.103149,168
41772.103195,168
41772.103241,168
41772.103287,168
41772.103334,168
41772.103380,168
41772.103426,168
41772.103473,168
41772.103519,168
41772.103566,171
41772.103612,171
41772.103658,160
41772.103704,161
41772.103750,161
41772.103797,161
41772.103843,161
41772.103889,161
41772.103936,161
41772.103982,161
41772.104028,161
41772.104074,161
41772.104121,167
41772.104167,166
41772.104214,170
41772.104260,168
41772.104306,167
41772.104352,165
41772.104399,163
41772.104445,162
41772.104496,249
41772.104541,299
41772.104584,299
41772.104630,298
41772.104676,297
41772.104723,296
41772.104769,295
41772.104817,295
41772.104862,295
41772.104908,295
41772.104954,295
41772.105000,295
41772.105047,295
41772.105093,295
41772.105139,295
41772.105186,295
41772.105232,171
41772.105279,171
41772.105325,171
41772.105371,171
41772.105417,171
41772.105463,171
41772.105510,171
41772.105556,176
41772.105602,175
41772.105649,175
41772.105695,175
41772.105741,171
41772.105787,171
41772.105834,171
41772.105880,171
41772.105926,171
41772.105973,171
41772.106019,171
41772.106065,171
41772.106111,171
41772.106158,171
41772.106204,171
41772.106251,159
41772.106297,159
41772.106343,157
41772.106389,158
41772.106436,158
41772.106482,158
41772.106528,158
41772.106575,157
41772.106621,158
41772.106667,158
41772.106713,158
41772.106760,158
41772.106806,158
41772.106852,158
41772.106899,158
41772.106945,163
41772.106991,164
41772.107037,164
41772.107084,163
41772.107130,163
41772.107176,163
41772.107223,163
41772.107269,163
41772.107316,163
41772.107362,165
41772.107408,165
41772.107454,166
41772.107501,166
41772.107547,166
41772.107593,170
41772.107640,176
41772.107686,179
41772.107732,178
41772.107778,177
41772.107825,177
41772.107871,176
41772.107917,176
41772.107963,175
41772.108015,274
41772.108056,274
41772.108102,274
41772.108149,273
41772.108195,272
41772.108241,271
41772.108287,270
41772.108334,269
41772.108380,269
41772.108427,269
41772.108473,269
41772.108519,269
41772.108565,269
41772.108611,269
41772.108658,269
41772.108704,216
41772.108750,157
41772.108797,157
41772.108843,157
41772.108889,156
41772.108936,156
41772.108982,156
41772.109029,159
41772.109075,155
41772.109121,155
41772.109167,154
41772.109214,154
41772.109260,154
41772.109306,154
41772.109353,154
41772.109399,154
41772.109445,154
41772.109492,155
41772.109538,155
41772.109584,157
41772.109631,157
41772.109677,157
41772.109723,156
41772.109769,156
41772.109816,156
41772.109862,156
41772.109908,156
41772.109955,157
41772.110001,157
41772.110047,157
41772.110093,157
41772.110140,157
41772.110186,157
41772.110232,162
41772.110278,162
41772.110325,162
41772.110371,162
41772.110419,185
41772.110464,185
41772.110510,185
41772.110556,185
41772.110602,185
41772.110649,184
41772.110695,184
41772.110741,184
41772.110788,184
41772.110834,184
41772.110880,184
41772.110927,183
41772.110973,183
41772.111019,183
41772.111066,186
41772.111112,165
41772.111159,167
41772.111204,167
41772.111251,166
41772.111297,165
41772.111344,165
41772.111390,167
41772.111436,166
41772.111483,165
41772.111537,292
41772.111579,368
41772.111621,369
41772.111668,368
41772.111714,367
41772.111760,366
41772.111806,365
41772.111853,365
41772.111899,365
41772.111946,365
41772.111992,365
41772.112038,365
41772.112085,365
41772.112131,365
41772.112177,365
41772.112223,365
41772.112270,150
41772.112317,162
41772.112362,162
41772.112409,160
41772.112455,160
41772.112501,161
41772.112547,161
41772.112594,160
41772.112640,160
41772.112686,160
41772.112733,160
41772.112779,160
41772.112825,161
41772.112872,165
41772.112918,165
41772.112964,165
41772.113010,156
41772.113057,156
41772.113103,156
41772.113149,156
41772.113198,170
41772.113242,170
41772.113289,170
41772.113334,170
41772.113381,170
41772.113427,170
41772.113473,170
41772.113520,170
41772.113566,168
41772.113612,168
41772.113659,168
41772.113705,168
41772.113751,168
41772.113797,168
41772.113844,168
41772.113890,155
41772.113936,155
41772.113983,155
41772.114029,155
41772.114075,150
41772.114121,150
41772.114168,155
41772.114214,155
41772.114260,153
41772.114307,153
41772.114353,154
41772.114399,154
41772.114446,154
41772.114492,154
41772.114539,160
41772.114585,171
41772.114631,170
41772.114677,172
41772.114723,171
41772.114770,171
41772.114816,173
41772.114863,171
41772.114909,172
41772.114955,171
41772.115001,170
41772.115058,382
41772.115095,393
41772.115140,395
41772.115186,394
41772.115233,393
41772.115279,392
41772.115325,391
41772.115372,390
41772.115418,390
41772.115464,391
41772.115511,391
41772.115557,391
41772.115603,391
41772.115650,391
41772.115696,391
41772.115742,326
41772.115789,165
41772.115835,164
41772.115881,164
41772.115928,164
41772.115974,161
41772.116020,161
41772.116066,161
41772.116112,160
41772.116159,159
41772.116205,159
41772.116251,162
41772.116298,162
41772.116344,162
41772.116390,162
41772.116436,162
41772.116483,160
41772.116529,160
41772.116576,160
41772.116621,160
41772.116668,158
41772.116714,158
41772.116761,159
41772.116807,159
41772.116854,159
41772.116900,159
41772.116946,149
41772.116992,149
41772.117038,149
41772.117084,149
41772.117131,149
41772.117177,149
41772.117223,149
41772.117270,150
41772.117316,150
41772.117362,150
41772.117409,150
41772.117455,149
41772.117501,152
41772.117548,152
41772.117594,152
41772.117640,152
41772.117686,152
41772.117733,152
41772.117779,152
41772.117825,152
41772.117871,152
41772.117918,154
41772.117964,152
41772.118011,157
41772.118057,156
41772.118103,157
41772.118150,161
41772.118196,156
41772.118242,155
41772.118289,156
41772.118334,156
41772.118381,157
41772.118427,156
41772.118473,155
41772.118520,155
41772.118572,264
41772.118612,266
41772.118659,266
41772.118705,264
41772.118751,265
41772.118797,264
41772.118844,263
41772.118890,262
41772.118936,262
41772.118983,261
41772.119029,261
41772.119075,261
41772.119121,261
41772.119168,261
41772.119214,261
41772.119261,184
41772.119307,183
41772.119353,183
41772.119399,183
41772.119446,177
41772.119492,177
41772.119538,177
41772.119585,177
41772.119631,179
41772.119677,179
41772.119723,164
41772.119770,164
41772.119816,164
41772.119862,165
41772.119909,165
41772.119955,165
41772.120001,165
41772.120047,165
41772.120094,165
41772.120140,165
41772.120186,165
41772.120233,167
41772.120279,167
41772.120325,152
41772.120371,152
41772.120418,152
41772.120464,151
41772.120510,151
41772.120557,151
41772.120603,151
41772.120649,151
41772.120696,151
41772.120742,151
41772.120788,151
41772.120835,155
41772.120881,155
41772.120927,154
41772.120973,154
41772.121020,154
41772.121066,154
41772.121112,154
41772.121159,154
41772.121205,154
41772.121251,154
41772.121298,154
41772.121344,154
41772.121390,154
41772.121437,158
41772.121483,168
41772.121529,167
41772.121575,166
41772.121622,166
41772.121668,166
41772.121714,165
41772.121760,164
41772.121807,166
41772.121853,165
41772.121899,166
41772.121946,166
41772.121992,165
41772.122038,165
41772.122092,276
41772.122131,278
41772.122177,278
41772.122224,277
41772.122270,276
41772.122316,275
41772.122362,273
41772.122409,274
41772.122455,274
41772.122501,275
41772.122547,275
41772.122594,275
41772.122640,275
41772.122686,275
41772.122733,274
41772.122779,194
41772.122825,194
41772.122871,194
41772.122920,205
41772.122964,205
41772.123011,205
41772.123057,181
