Time,CPU Usage
41772.087871,5.2
41772.087917,9.3
41772.087964,4.8
41772.088010,4.7
41772.088056,4.2
41772.088103,4.1
41772.088149,7.0
41772.088195,9.1
41772.088241,7.8
41772.088288,7.3
41772.088334,5.7
41772.088380,6.5
41772.088427,8.1
41772.088473,10.0
41772.088519,5.6
41772.088566,7.0
41772.088612,10.4
41772.088658,7.7
41772.088704,3.9
41772.088751,5.1
41772.088797,4.7
41772.088843,5.4
41772.088890,6.1
41772.088936,4.7
41772.088982,9.8
41772.089029,11.1
41772.089075,8.3
41772.089121,5.6
41772.089167,6.6
41772.089214,6.9
41772.089260,4.6
41772.089306,4.4
41772.089353,7.6
41772.089399,8.4
41772.089445,7.1
41772.089491,5.1
41772.089538,4.7
41772.089584,5.9
41772.089630,4.1
41772.089677,4.4
41772.089723,11.9
41772.089769,5.7
41772.089816,9.1
41772.089862,9.2
41772.089908,6.5
41772.089954,5.0
41772.090001,4.3
41772.090047,4.7
41772.090094,10.7
41772.090140,4.5
41772.090186,4.6
41772.090232,8.3
41772.090279,7.9
41772.090325,9.4
41772.090371,4.7
41772.090418,7.4
41772.090464,17.1
41772.090510,15.1
41772.090556,6.4
41772.090603,7.2
41772.090649,9.6
41772.090695,5.7
41772.090741,4.1
41772.090788,5.2
41772.090834,9.8
41772.090881,5.2
41772.090927,4.7
41772.090973,7.2
41772.091019,6.5
41772.091066,8.6
41772.091112,7.2
41772.091158,9.5
41772.091204,14.7
41772.091251,7.0
41772.091297,6.2
41772.091343,5.6
41772.091390,4.5
41772.091436,4.4
41772.091482,10.9
41772.091529,5.6
41772.091575,9.1
41772.091621,8.1
41772.091667,5.8
41772.091714,4.3
41772.091760,4.3
41772.091806,5.5
41772.091853,5.4
41772.091899,10.5
41772.091945,12.9
41772.091991,6.6
41772.092038,4.8
41772.092084,4.7
41772.092130,4.3
41772.092177,5.2
41772.092223,4.9
41772.092269,5.9
41772.092316,18.0
41772.092362,7.0
41772.092408,4.7
41772.092454,4.5
41772.092501,5.6
41772.092547,5.2
41772.092593,6.8
41772.092640,6.4
41772.092686,26.9
41772.092732,7.3
41772.092779,6.8
41772.092825,8.9
41772.092871,4.2
41772.092917,5.4
41772.092964,4.6
41772.093010,5.5
41772.093056,10.2
41772.093103,5.1
41772.093149,5.9
41772.093195,8.4
41772.093241,5.7
41772.093288,7.3
41772.093334,7.0
41772.093380,6.6
41772.093427,12.7
41772.093473,4.7
41772.093519,4.2
41772.093566,6.7
41772.093613,8.7
41772.093658,4.7
41772.093704,5.5
41772.093751,7.7
41772.093797,8.7
41772.093843,5.3
41772.093890,6.1
41772.093936,5.1
41772.093982,15.9
41772.094029,16.0
41772.094075,7.2
41772.094121,6.3
41772.094167,8.5
41772.094214,4.3
41772.094260,4.8
41772.094306,5.0
41772.094353,4.9
41772.094399,10.0
41772.094445,10.4
41772.094491,7.3
41772.094538,6.6
41772.094584,5.1
41772.094630,4.4
41772.094677,7.1
41772.094723,6.1
41772.094769,6.8
41772.094816,5.8
41772.094862,12.2
41772.094908,5.5
41772.094954,7.1
41772.095001,5.2
41772.095047,4.7
41772.095093,5.2
41772.095140,5.9
41772.095186,5.4
41772.095232,10.2
41772.095279,9.0
41772.095325,5.5
41772.095371,6.8
41772.095417,6.1
41772.095464,7.0
41772.095510,4.9
41772.095556,4.8
41772.095603,11.2
41772.095649,6.1
41772.095695,9.4
41772.095741,5.3
41772.095788,5.1
41772.095834,6.0
41772.095880,5.6
41772.095927,4.7
41772.095973,8.5
41772.096019,5.6
41772.096066,8.2
41772.096112,10.6
41772.096158,10.6
41772.096204,5.4
41772.096251,4.6
41772.096297,4.8
41772.096343,9.6
41772.096390,4.8
41772.096436,5.0
41772.096482,6.3
41772.096529,9.5
41772.096575,5.2
41772.096621,4.6
41772.096667,5.2
41772.096714,9.7
41772.096760,6.6
41772.096806,10.0
41772.096853,6.9
41772.096899,6.7
41772.096945,7.5
41772.096991,5.2
41772.097038,4.4
41772.097084,9.5
41772.097130,5.4
41772.097177,5.1
41772.097223,6.3
41772.097269,5.1
41772.097316,8.9
41772.097362,7.6
41772.097408,10.4
41772.097454,12.6
41772.097501,11.2
41772.097547,11.4
41772.097593,5.5
41772.097640,4.6
41772.097686,4.7
41772.097732,9.8
41772.097779,8.1
41772.097825,10.6
41772.097871,5.0
41772.097917,4.7
41772.097964,4.9
41772.098010,4.6
41772.098056,5.5
41772.098103,4.4
41772.098149,8.1
41772.098195,15.6
41772.098241,6.7
41772.098288,8.4
41772.098334,4.7
41772.098380,4.3
41772.098427,4.4
41772.098473,4.9
41772.098519,6.4
41772.098566,10.2
41772.098612,9.9
41772.098658,5.8
41772.098704,4.9
41772.098751,5.0
41772.098797,5.2
41772.098843,6.6
41772.098890,8.7
41772.098936,13.8
41772.098982,6.5
41772.099029,8.1
41772.099075,5.0
41772.099121,4.9
41772.099167,4.8
41772.099214,4.8
41772.099260,7.4
41772.099306,9.1
41772.099353,5.8
41772.099399,5.6
41772.099445,8.7
41772.099491,5.5
41772.099539,11.2
41772.099584,6.8
41772.099630,9.3
41772.099677,8.6
41772.099723,4.1
41772.099769,4.5
41772.099816,5.0
41772.099862,8.5
41772.099908,4.9
41772.099954,6.1
41772.100001,9.5
41772.100047,7.2
41772.100093,4.3
41772.100140,5.4
41772.100186,4.9
41772.100232,10.7
41772.100279,10.9
41772.100325,7.6
41772.100371,9.6
41772.100417,4.7
41772.100464,4.8
41772.100510,4.8
41772.100556,4.6
41772.100603,4.7
41772.100649,6.4
41772.100695,10.6
41772.100741,13.8
41772.100788,5.2
41772.100834,6.0
41772.100880,5.7
41772.100927,6.7
41772.100973,6.3
41772.101019,11.7
41772.101066,11.9
41772.101112,11.1
41772.101158,7.7
41772.101204,4.9
41772.101251,4.6
41772.101297,4.8
41772.101343,5.4
41772.101390,6.3
41772.101436,5.2
41772.101482,9.4
41772.101529,7.7
41772.101575,7.1
41772.101621,6.5
41772.101667,9.9
41772.101714,6.6
41772.101760,5.0
41772.101806,5.4
41772.101853,9.9
41772.101899,5.0
41772.101945,6.8
41772.101991,7.4
41772.102038,5.4
41772.102084,6.1
41772.102130,5.0
41772.102177,4.6
41772.102223,9.4
41772.102269,5.0
41772.102316,10.3
41772.102362,7.9
41772.102408,10.2
41772.102454,5.9
41772.102501,4.7
41772.102548,4.4
41772.102593,9.5
41772.102640,4.7
41772.102686,4.8
41772.102732,5.1
41772.102779,7.2
41772.102825,8.5
41772.102871,5.5
41772.102917,3.5
41772.102964,13.9
41772.103010,6.8
41772.103056,6.3
41772.103103,6.5
41772.103149,5.1
41772.103195,4.9
41772.103241,8.6
41772.103288,6.1
41772.103334,9.3
41772.103380,4.9
41772.103427,5.0
41772.103473,6.0
41772.103519,5.5
41772.103566,8.2
41772.103612,5.2
41772.103658,10.4
41772.103704,11.4
41772.103751,6.0
41772.103797,7.1
41772.103843,5.9
41772.103890,4.7
41772.103936,4.9
41772.103982,4.7
41772.104029,7.9
41772.104075,10.7
41772.104121,10.4
41772.104167,6.1
41772.104214,6.3
41772.104260,4.9
41772.104306,6.3
41772.104353,5.1
41772.104399,11.1
41772.104445,9.2
41772.104491,11.5
41772.104538,16.6
41772.104584,8.3
41772.104630,4.3
41772.104677,4.7
41772.104723,4.7
41772.104769,8.9
41772.104816,5.6
41772.104862,5.6
41772.104908,10.3
41772.104954,4.9
41772.105001,5.4
41772.105047,8.7
41772.105093,6.2
41772.105140,11.4
41772.105186,6.6
41772.105232,5.1
41772.105279,4.9
41772.105325,8.9
41772.105371,5.4
41772.105417,4.7
41772.105464,4.7
41772.105510,10.4
41772.105556,5.7
41772.105603,5.4
41772.105649,8.5
41772.105695,5.9
41772.105741,9.3
41772.105788,10.6
41772.105834,6.3
41772.105880,10.8
41772.105927,5.8
41772.105973,5.3
41772.106019,4.6
41772.106066,4.3
41772.106112,5.1
41772.106158,8.4
41772.106204,5.6
41772.106251,14.3
41772.106297,5.7
41772.106343,4.8
41772.106390,5.3
41772.106436,4.7
41772.106482,6.3
41772.106529,7.6
41772.106575,9.2
41772.106621,11.6
41772.106667,5.6
41772.106714,3.6
41772.106760,4.4
41772.106806,5.0
41772.106853,4.9
41772.106899,5.1
41772.106945,10.5
41772.106991,14.4
41772.107038,5.2
41772.107084,5.2
41772.107130,5.0
41772.107177,6.3
41772.107223,6.7
41772.107269,6.5
41772.107316,5.1
41772.107362,9.8
41772.107408,8.2
41772.107454,8.6
41772.107501,4.6
41772.107547,4.3
41772.107593,4.9
41772.107640,6.4
41772.107686,6.2
41772.107732,9.7
41772.107779,5.5
41772.107825,9.1
41772.107871,9.3
41772.107917,6.5
41772.107964,6.9
41772.108010,9.4
41772.108056,10.9
41772.108103,11.7
41772.108149,4.2
41772.108195,5.0
41772.108241,7.5
41772.108288,7.1
41772.108334,5.8
41772.108380,9.6
41772.108427,4.7
41772.108473,10.5
41772.108519,4.9
41772.108566,6.4
41772.108612,6.3
41772.108658,10.4
41772.108704,6.2
41772.108751,4.9
41772.108797,5.0
41772.108843,23.5
41772.108890,4.4
41772.108936,4.7
41772.108982,4.6
41772.109029,9.1
41772.109075,8.9
41772.109121,6.8
41772.109168,5.4
41772.109214,9.5
41772.109260,6.9
41772.109306,6.9
41772.109353,6.2
41772.109399,5.1
41772.109445,5.0
41772.109492,8.6
41772.109538,8.6
41772.109584,10.9
41772.109631,4.6
41772.109677,4.6
41772.109723,5.2
41772.109769,5.1
41772.109816,5.2
41772.109862,5.8
41772.109909,7.5
41772.109955,13.6
41772.110001,6.4
41772.110047,6.9
41772.110094,5.2
41772.110140,5.1
41772.110186,5.2
41772.110232,8.5
41772.110279,6.1
41772.110325,10.6
41772.110371,7.1
41772.110418,5.5
41772.110464,5.4
41772.110510,4.9
41772.110556,4.9
41772.110603,5.0
41772.110649,9.7
41772.110695,8.4
41772.110742,9.8
41772.110788,12.0
41772.110834,5.0
41772.110881,5.5
41772.110927,5.1
41772.110973,4.9
41772.111019,7.7
41772.111066,6.7
41772.111112,6.1
41772.111159,8.6
41772.111205,7.0
41772.111251,5.6
41772.111298,5.7
41772.111344,6.6
41772.111390,14.5
41772.111436,6.7
41772.111483,6.1
41772.111529,5.0
41772.111576,13.7
41772.111621,11.1
41772.111668,4.8
41772.111714,8.3
41772.111761,9.2
41772.111807,6.1
41772.111853,4.5
41772.111899,5.0
41772.111946,6.2
41772.111992,7.6
41772.112038,9.5
41772.112085,6.6
41772.112131,11.1
41772.112178,5.3
41772.112224,4.7
41772.112270,5.1
41772.112316,8.5
41772.112362,4.9
41772.112409,7.4
41772.112455,7.9
41772.112501,10.8
41772.112548,4.6
41772.112594,5.2
41772.112640,5.5
41772.112687,4.9
41772.112733,6.4
41772.112779,6.4
41772.112826,8.4
41772.112872,15.8
41772.112918,5.3
41772.112964,4.7
41772.113011,5.6
41772.113057,4.8
41772.113103,4.6
41772.113150,5.3
41772.113196,6.2
41772.113242,10.8
41772.113289,7.8
41772.113335,6.0
41772.113381,5.3
41772.113427,6.2
41772.113474,6.0
41772.113520,5.6
41772.113566,9.3
41772.113613,11.0
41772.113659,5.4
41772.113705,7.1
41772.113751,6.5
41772.113798,5.2
41772.113844,5.0
41772.113890,5.3
41772.113937,5.2
41772.113983,8.8
41772.114029,5.1
41772.114076,5.3
41772.114122,7.7
41772.114168,13.4
41772.114214,6.6
41772.114261,5.1
41772.114307,4.9
41772.114353,9.0
41772.114400,5.4
41772.114446,4.7
41772.114492,4.8
