Time,Used
41772.074074,1265940400
41772.074121,1383171152
41772.074167,1502362432
41772.074213,1562814752
41772.074260,206509728
41772.074306,419261312
41772.074352,479925056
41772.074399,534872600
41772.074445,598896648
41772.074491,659859664
41772.074537,865393808
41772.074584,1019611128
41772.074630,1134684576
41772.074676,1292687968
41772.074723,1351406736
41772.074769,1403378512
41772.074815,1457330792
41772.074861,1514930816
41772.074908,224567400
41772.074954,395357712
41772.075000,497061760
41772.075047,676434568
41772.075093,725109160
41772.075139,791931152
41772.075186,844356992
41772.075232,987229072
41772.075278,1106773848
41772.075324,1233546808
41772.075371,1380794792
41772.075417,1538880360
41772.075463,215864088
41772.075510,268233888
41772.075556,325650624
41772.075602,390599024
41772.075649,454082168
41772.075695,551774544
41772.075741,668839632
41772.075787,894485560
41772.075834,961669248
41772.075880,1024530632
41772.075926,1144190912
41772.075973,1269113616
41772.076019,1375454960
41772.076065,1433305480
41772.076111,1488018896
41772.076158,316274088
41772.076204,434127840
41772.076250,494521048
41772.076297,553485784
41772.076343,717284472
41772.076389,921152184
41772.076436,1489650672
41772.076482,426958776
41772.076528,583278680
41772.076574,732836504
41772.076621,880981504
41772.076667,1002660208
41772.076713,1112757656
41772.076760,1172173320
41772.076806,1220831616
41772.076852,1316002968
41772.076899,1445172448
41772.076945,1493313568
41772.076991,275702392
41772.077037,364194456
41772.077084,453708952
41772.077130,522227872
41772.077176,567940680
41772.077223,668469448
41772.077269,806334400
41772.077315,889543688
41772.077361,1006767256
41772.077408,1201665624
41772.077454,1312332288
41772.077500,1364460296
41772.077547,1421233144
41772.077593,1518176296
41772.077639,256261768
41772.077686,311076520
41772.077732,393556648
41772.077778,478311424
41772.077824,632007920
41772.077871,721380976
41772.077917,792961240
41772.077963,903185736
41772.078010,1077682576
41772.078056,1198508056
41772.078102,1305563696
41772.078149,1357994392
41772.078195,1405265064
41772.078241,1524198336
41772.078287,246739544
41772.078334,367922096
41772.078380,460117464
41772.078426,546850560
41772.078473,640726656
41772.078519,707071976
41772.078565,762208784
41772.078611,835745576
41772.078658,991508408
41772.078704,1234180080
41772.078750,1361117048
41772.078797,1484594400
41772.078843,1540289008
41772.078889,1596350200
41772.078936,259589568
41772.078982,316018376
41772.079028,382636536
41772.079074,639531352
41772.079121,736629000
41772.079167,829552976
41772.079213,900069488
41772.079260,950488872
41772.079306,1022239856
41772.079352,1093314864
41772.079399,1214437496
41772.079445,1443112488
41772.079491,296857600
41772.079537,376049360
41772.079584,437920072
41772.079630,492445344
41772.079676,550622024
41772.079723,591368592
41772.079769,641128624
41772.079815,933238816
41772.079861,1050842928
41772.079908,1322170448
41772.079954,358113808
41772.080000,637829888
41772.080047,697033080
41772.080093,816704344
41772.080139,941390688
41772.080186,1160668912
41772.080232,1227799184
41772.080278,1305210704
41772.080324,1452430280
41772.080371,1515273904
41772.080417,1577012480
41772.080463,1636816408
41772.080510,325846256
41772.080556,548322608
41772.080602,613690264
41772.080649,683183488
41772.080695,781502192
41772.080741,922150920
41772.080787,1094899944
41772.080834,1409852376
41772.080880,1531627808
41772.080926,335032344
41772.080973,384591928
41772.081019,447671016
41772.081065,505641272
41772.081111,604141744
41772.081158,728870480
41772.081204,808036232
41772.081250,910082672
41772.081297,1090549992
41772.081343,1150203536
41772.081389,1217211744
41772.081436,1269717080
41772.081482,1394306120
41772.081528,1561222984
41772.081574,382262720
41772.081621,457728136
41772.081667,613625744
41772.081713,666901288
41772.081760,724432088
41772.081806,778659104
41772.081852,837826792
41772.081899,904622768
41772.081945,1057054736
41772.081991,1232326856
41772.082037,1364758104
41772.082084,1430176712
41772.082130,1484944624
41772.082176,1604839736
41772.082223,331402920
41772.082269,440223296
41772.082315,524102216
41772.082361,692842552
41772.082408,848872712
41772.082454,898112320
41772.082500,958303816
41772.082547,1017377072
41772.082593,1080082776
41772.082639,1179483328
41772.082686,1258757240
41772.082732,1374292096
41772.082778,1565204832
41772.082824,1666867616
41772.082871,393217384
41772.082917,508607120
41772.082963,618674408
41772.083010,691650736
41772.083056,747730080
41772.083102,888003496
41772.083149,961557200
41772.083195,1086103016
41772.083241,1197932712
41772.083287,1279818568
41772.083334,1474052824
41772.083380,1536548632
41772.083426,380598680
41772.083473,1113502024
41772.083519,1188505632
41772.083565,1313380336
41772.083611,1490281248
41772.083658,1649965976
41772.083704,347620080
41772.083750,394105048
41772.083797,452226064
41772.083843,612236744
41772.083889,665442104
41772.083936,728152608
41772.083982,797951672
41772.084028,958325920
41772.084074,1084524976
41772.084121,1140361176
41772.084167,1203787840
41772.084213,1378890576
41772.084260,1481746560
41772.084306,1603697304
41772.084352,1711703696
41772.084399,414786736
41772.084445,534749576
41772.084491,641146368
41772.084537,694602048
41772.084584,857444112
41772.084630,912817456
41772.084676,978570576
41772.084723,1108356112
41772.084769,1191425416
41772.084815,1248333072
41772.084861,1400072560
41772.084908,1498523640
41772.084954,360316752
41772.085000,483097184
41772.085047,598428696
41772.085093,654025032
